x0000,y0000,x0001,y0001
-0.03334144,0.6251220703,-0.03334144,0.6005859375
-0.0333373440,0.6301269531,-0.0333373440,0.6000976562
-0.033333248,0.6324462891,-0.033333248,0.599609375
-0.033329152,0.6359863281,-0.033329152,0.5991210938
-0.033325056,0.6385498047,-0.033325056,0.5986328125
-0.0333209600,0.6418457031,-0.0333209600,0.5981445312
-0.033316864,0.6441650391,-0.033316864,0.59765625
-0.033312768,0.6467285156,-0.033312768,0.5971679688
-0.0333086720,0.6488037109,-0.0333086720,0.5966796875
-0.033304576,0.6501464844,-0.033304576,0.5961914062
-0.03330048,0.6527099609,-0.03330048,0.595703125
-0.0332963840,0.6535644531,-0.0332963840,0.5952148438
-0.033292288,0.6551513672,-0.033292288,0.5947265625
-0.033288192,0.6583251953,-0.033288192,0.5942382812
-0.033284096,0.66015625,-0.033284096,0.59375
-0.0332800000,0.6627197266,-0.0332800000,0.5932617188
-0.033275904,0.6657714844,-0.033275904,0.5927734375
-0.033271808,0.6672363281,-0.033271808,0.5922851562
-0.0332677120,0.6690673828,-0.0332677120,0.591796875
-0.033263616,0.6711425781,-0.033263616,0.5913085938
-0.03325952,0.6729736328,-0.03325952,0.5908203125
-0.033255424,0.6773681641,-0.033255424,0.5902099609
-0.0332513280,0.6799316406,-0.0332513280,0.58984375
-0.033247232,0.6826171875,-0.033247232,0.5893554688
-0.033243136,0.6853027344,-0.033243136,0.5887451172
-0.0332390400,0.6873779297,-0.0332390400,0.5883789062
-0.033234944,0.6905517578,-0.033234944,0.587890625
-0.033230848,0.69140625,-0.033230848,0.5872802734
-0.0332267520,0.6943359375,-0.0332267520,0.5867919922
-0.033222656,0.6970214844,-0.033222656,0.5864257812
-0.03321856,0.6978759766,-0.03321856,0.5858154297
-0.033214464,0.6988525391,-0.033214464,0.5853271484
-0.0332103680,0.6999511719,-0.0332103680,0.5849609375
-0.033206272,0.7030029297,-0.033206272,0.5843505859
-0.033202176,0.7037353516,-0.033202176,0.5838623047
-0.0331980800,0.7052001953,-0.0331980800,0.5833740234
-0.033193984,0.7066650391,-0.033193984,0.5828857422
-0.033189888,0.7091064453,-0.033189888,0.5823974609
-0.033185792,0.7117919922,-0.033185792,0.5819091797
-0.0331816960,0.7143554688,-0.0331816960,0.5814208984
-0.0331776,0.7166748047,-0.0331776,0.5809326172
-0.033173504,0.7205810547,-0.033173504,0.5804443359
-0.0331694080,0.7225341797,-0.0331694080,0.5799560547
-0.033165312,0.7233886719,-0.033165312,0.5794677734
-0.033161216,0.7259521484,-0.033161216,0.5789794922
-0.0331571200,0.7297363281,-0.0331571200,0.5784912109
-0.033153024,0.7340087891,-0.033153024,0.5780029297
-0.033148928,0.7358398438,-0.033148928,0.5775146484
-0.033144832,0.7399902344,-0.033144832,0.5770263672
-0.0331407360,0.7436523438,-0.0331407360,0.5765380859
-0.03313664,0.7448730469,-0.03313664,0.5760498047
-0.033132544,0.7475585938,-0.033132544,0.5755615234
-0.0331284480,0.7492675781,-0.0331284480,0.5750732422
-0.033124352,0.7526855469,-0.033124352,0.5745849609
-0.033120256,0.7540283203,-0.033120256,0.5740966797
-0.03311616,0.7565917969,-0.03311616,0.5736083984
-0.0331120640,0.7572021484,-0.0331120640,0.5731201172
-0.033107968,0.7590332031,-0.033107968,0.5726318359
-0.033103872,0.7570800781,-0.033103872,0.5721435547
-0.0330997760,0.7595214844,-0.0330997760,0.5715332031
-0.03309568,0.7607421875,-0.03309568,0.5711669922
-0.033091584,0.7611083984,-0.033091584,0.5706787109
-0.0330874880,0.7611083984,-0.0330874880,0.5700683594
-0.033083392,0.7593994141,-0.033083392,0.5697021484
-0.033079296,0.7592773438,-0.033079296,0.5692138672
-0.0330752,0.7592773438,-0.0330752,0.5686035156
-0.0330711040,0.7581787109,-0.0330711040,0.5681152344
-0.033067008,0.7595214844,-0.033067008,0.5677490234
-0.033062912,0.7590332031,-0.033062912,0.5671386719
-0.0330588160,0.7608642578,-0.0330588160,0.5666503906
-0.03305472,0.7635498047,-0.03305472,0.5662841797
-0.033050624,0.7640380859,-0.033050624,0.5656738281
-0.0330465280,0.7683105469,-0.0330465280,0.5651855469
-0.0330424320,0.7725830078,-0.0330424320,0.5646972656
-0.033038336,0.7749023438,-0.033038336,0.5642089844
-0.03303424,0.7814941406,-0.03303424,0.5637207031
-0.0330301440,0.7854003906,-0.0330301440,0.5632324219
-0.033026048,0.7896728516,-0.033026048,0.5627441406
